ID,Confidence,R.A.,Decl.,D,Teff,logg,[Fe/H],Source
31550,0.661133,160.2262783,23.96020403,75353.45519,,,,
31551,0.895508,165.1415812,24.56891612,9161.38159,,,,
31552,0.857422,165.2187513,24.73765933,28324.22935,,,,
31553,0.900879,147.6347091,19.32000044,37781.37561,,,,
31554,0.779785,151.9649036,20.33290591,72123.07122,,,,
31555,0.873535,154.8396704,20.87964323,27390.17549,,,,
31556,0.664551,148.3017892,20.02440557,53514.45079,,,,
31557,0.626953,150.2946085,20.42272811,41973.37788,,,,
31558,0.937012,150.2363944,20.48240742,24123.83876,,,,
31559,0.823242,146.112768,19.76878756,11112.35364,,,,
31560,0.675781,152.445016,21.84429733,,,,,
31561,0.800293,148.4819884,21.2593558,75938.42645,,,,
31562,0.938965,149.0694173,21.4493262,24580.98747,,,,
31563,0.666992,150.0339321,21.60002287,12319.76483,7773.960915,3.624583054,-2.242249891,
31564,0.679199,150.219951,21.72299212,6057.089327,,,,
31565,0.916992,145.6690059,21.02287828,9952.700561,,,,
